Feature_A,Feature_B,Correlation,Abs_Correlation
Pkt Len Max,Bwd Seg Size Avg,0.7537248491800929,0.7537248491800929
Flow IAT Max,Fwd IAT Tot,0.7529914219486676,0.7529914219486676
Fwd IAT Std,Bwd IAT Std,0.749614895332339,0.749614895332339
Protocol,Fwd Pkt Len Min,0.7485302916383518,0.7485302916383518
Bwd IAT Tot,Bwd IAT Std,0.7481185950849243,0.7481185950849243
Fwd Pkt Len Std,Pkt Len Max,0.7458812528991984,0.7458812528991984
Bwd Pkt Len Std,Pkt Len Mean,0.744035135360492,0.744035135360492
Flow IAT Mean,Idle Min,0.7426849583753468,0.7426849583753468
Flow Duration,Idle Max,0.7396144942628602,0.7396144942628602
Flow IAT Mean,Idle Mean,0.7380449320103734,0.7380449320103734
Bwd Pkt Len Min,Pkt Len Min,0.7350232228896094,0.7350232228896094
Fwd IAT Tot,Idle Max,0.7331429500095161,0.7331429500095161
Flow Duration,Idle Mean,0.7311617088078668,0.7311617088078668
Bwd Pkt Len Max,Pkt Size Avg,0.7292267371663493,0.7292267371663493
Flow IAT Mean,Idle Max,0.7280888037337327,0.7280888037337327
Active Max,Active Min,0.7275693729856343,0.7275693729856343
Bwd Pkt Len Std,PSH Flag Cnt,0.7267718586416806,0.7267718586416806
Fwd IAT Tot,Idle Mean,0.7252728563967213,0.7252728563967213
Fwd Pkt Len Std,Pkt Len Std,0.7221208031841724,0.7221208031841724
Bwd Pkt Len Std,Pkt Size Avg,0.714997614456752,0.714997614456752
Flow Duration,Idle Min,0.7138929093929505,0.7138929093929505
Flow IAT Std,Bwd IAT Mean,0.7110463656788093,0.7110463656788093
Protocol,Fwd Seg Size Min,-0.7090053609353635,0.7090053609353635
Fwd IAT Tot,Idle Min,0.7085609942626518,0.7085609942626518
Fwd IAT Min,Idle Min,0.7071518507281669,0.7071518507281669
Flow Pkts/s,Bwd Pkts/s,0.7054066378834036,0.7054066378834036
Bwd Pkt Len Max,PSH Flag Cnt,0.7050080066176432,0.7050080066176432
Pkt Len Max,PSH Flag Cnt,0.7016624250495708,0.7016624250495708
Fwd IAT Min,Idle Mean,0.7004693058026445,0.7004693058026445
Flow IAT Min,Idle Min,0.6961635150877648,0.6961635150877648
Flow IAT Min,Idle Mean,0.6893428131378366,0.6893428131378366
Fwd IAT Min,Idle Max,0.6886590941548885,0.6886590941548885
Fwd Pkt Len Min,Bwd Pkt Len Min,0.6862781294692325,0.6862781294692325
Flow IAT Min,Idle Max,0.6775669288875077,0.6775669288875077
Fwd Pkt Len Mean,Pkt Len Max,0.6775139773138057,0.6775139773138057
Pkt Len Max,Fwd Seg Size Avg,0.6775139773138057,0.6775139773138057
Fwd Pkt Len Max,Bwd Pkt Len Max,0.6689061755727194,0.6689061755727194
Pkt Len Std,PSH Flag Cnt,0.6674875278173878,0.6674875278173878
Fwd Pkt Len Max,Bwd Pkt Len Std,0.6599730474296459,0.6599730474296459
Bwd Pkt Len Min,Fwd Seg Size Min,-0.6560217052468387,0.6560217052468387
Flow IAT Std,Bwd IAT Std,0.649834855550966,0.649834855550966
Fwd Pkt Len Mean,Pkt Len Std,0.6435156719237073,0.6435156719237073
Pkt Len Std,Fwd Seg Size Avg,0.6435156719237072,0.6435156719237072
Fwd IAT Std,Bwd IAT Tot,0.6430308726953897,0.6430308726953897
Bwd IAT Mean,Bwd IAT Max,0.6375927701444174,0.6375927701444174
Pkt Len Min,Fwd Seg Size Min,-0.6215364333356506,0.6215364333356506
Flow Duration,Bwd IAT Max,0.6127214672456588,0.6127214672456588
Flow IAT Std,Bwd IAT Tot,0.6110900925865458,0.6110900925865458
Fwd Pkt Len Max,Init Bwd Win Byts,0.6074050157867924,0.6074050157867924
Fwd Pkt Len Std,Bwd Pkt Len Std,0.6021812690905174,0.6021812690905174
Fwd IAT Tot,Bwd IAT Max,0.6006443229283099,0.6006443229283099
Flow Duration,Bwd IAT Std,0.5998621242069027,0.5998621242069027
Fwd IAT Tot,Fwd IAT Std,0.5975081753396891,0.5975081753396891
Flow Duration,Fwd IAT Std,0.5961386990894824,0.5961386990894824
RST Flag Cnt,PSH Flag Cnt,0.5929300303638341,0.5929300303638341
PSH Flag Cnt,ECE Flag Cnt,0.5929104532999926,0.5929104532999926
Fwd IAT Tot,Bwd IAT Std,0.5896348770639043,0.5896348770639043
Pkt Len Max,RST Flag Cnt,0.5890275764071972,0.5890275764071972
Pkt Len Max,ECE Flag Cnt,0.5890097561466134,0.5890097561466134
Fwd Pkt Len Mean,Pkt Size Avg,0.5860955516009532,0.5860955516009532
Pkt Size Avg,Fwd Seg Size Avg,0.5860955516009532,0.5860955516009532
Fwd Pkt Len Max,Pkt Len Var,0.5850954855667603,0.5850954855667603
Flow Duration,Flow IAT Std,0.5806699314818113,0.5806699314818113
Bwd Pkt Len Std,RST Flag Cnt,0.5795827492228696,0.5795827492228696
Bwd Pkt Len Std,ECE Flag Cnt,0.5795658855620915,0.5795658855620915
Fwd Pkt Len Min,Fwd Seg Size Min,-0.579561834151117,0.579561834151117
Fwd Pkt Len Max,Pkt Len Mean,0.5784822857960522,0.5784822857960522
Bwd IAT Max,Idle Max,0.5724446873711763,0.5724446873711763
Fwd IAT Std,Bwd IAT Mean,0.5679304759488191,0.5679304759488191
Pkt Len Mean,Fwd Seg Size Avg,0.5670449919206797,0.5670449919206797
Fwd Pkt Len Mean,Pkt Len Mean,0.5670449919206796,0.5670449919206796
Active Mean,Active Std,0.5668821269498758,0.5668821269498758
Fwd Pkt Len Std,Bwd Pkt Len Max,0.5665574893949692,0.5665574893949692
PSH Flag Cnt,ACK Flag Cnt,-0.5643586820755548,0.5643586820755548
Fwd Pkt Len Max,Pkt Size Avg,0.5626688048360025,0.5626688048360025
Pkt Len Std,RST Flag Cnt,0.5594047430734329,0.5594047430734329
Pkt Len Std,ECE Flag Cnt,0.5593882309738696,0.5593882309738696
Fwd IAT Tot,Fwd IAT Mean,0.5587008651337039,0.5587008651337039
Flow IAT Std,Fwd IAT Tot,0.5580427934650092,0.5580427934650092
Bwd IAT Max,Idle Mean,0.5555853469438433,0.5555853469438433
Flow Duration,Fwd IAT Mean,0.5552793627087647,0.5552793627087647
Bwd Pkt Len Max,RST Flag Cnt,0.5512012894767626,0.5512012894767626
Bwd Pkt Len Max,ECE Flag Cnt,0.5511838497138265,0.5511838497138265
Pkt Len Max,Init Bwd Win Byts,0.5479860472158051,0.5479860472158051
Bwd Pkt Len Max,Init Bwd Win Byts,0.5474197809243121,0.5474197809243121
Fwd Pkt Len Std,Pkt Len Var,0.5470778863515251,0.5470778863515251
Fwd IAT Std,Fwd IAT Max,0.5469553835952435,0.5469553835952435
Pkt Len Var,PSH Flag Cnt,0.546770081995847,0.546770081995847
Flow IAT Max,Fwd IAT Std,0.5409944028015098,0.5409944028015098
Fwd Pkt Len Max,PSH Flag Cnt,0.5407987166101473,0.5407987166101473
Bwd IAT Max,Idle Min,0.5352075255136794,0.5352075255136794
Flow IAT Std,Flow IAT Max,0.5337695406520596,0.5337695406520596
Fwd IAT Std,Idle Max,0.5301946244664326,0.5301946244664326
Flow IAT Std,Idle Max,0.5288302356383144,0.5288302356383144
Flow IAT Max,Bwd IAT Max,0.527691766262964,0.527691766262964
Bwd Pkt Len Max,Fwd Seg Size Avg,0.5268083564791456,0.5268083564791456
Fwd Pkt Len Mean,Bwd Pkt Len Max,0.5268083564791456,0.5268083564791456
Bwd Pkt Len Std,Fwd Seg Size Avg,0.5251927433050297,0.5251927433050297
Fwd Pkt Len Mean,Bwd Pkt Len Std,0.5251927433050296,0.5251927433050296
Bwd IAT Tot,Bwd IAT Mean,0.5169460965207221,0.5169460965207221
Fwd Pkt Len Std,Init Bwd Win Byts,0.516501354248984,0.516501354248984
Fwd IAT Std,Idle Mean,0.5161914995442701,0.5161914995442701
Fwd Pkt Len Std,Pkt Len Mean,0.5155187833787321,0.5155187833787321
Flow IAT Std,Idle Mean,0.5154127670653926,0.5154127670653926
Fwd IAT Max,Bwd IAT Max,0.5122830981665659,0.5122830981665659
ACK Flag Cnt,Src Port,-0.5119040336071282,0.5119040336071282
Fwd Pkt Len Std,PSH Flag Cnt,0.5086847655353047,0.5086847655353047
Flow IAT Std,Bwd IAT Min,0.5068553849819435,0.5068553849819435
Flow Duration,Flow IAT Mean,0.5056576942331629,0.5056576942331629
Flow IAT Mean,Fwd IAT Tot,0.5053009430418044,0.5053009430418044
Fwd Seg Size Avg,Init Bwd Win Byts,0.504652645879034,0.504652645879034
Fwd Pkt Len Mean,Init Bwd Win Byts,0.504652645879034,0.504652645879034
Fwd Pkt Len Std,Pkt Size Avg,0.500774555187406,0.500774555187406
Flow IAT Std,Fwd IAT Max,0.49887568977751695,0.49887568977751695
Fwd IAT Std,Idle Min,0.4988346534037603,0.4988346534037603
Flow IAT Std,Idle Min,0.49854998564047825,0.49854998564047825
Bwd IAT Std,Idle Max,0.49704336696128004,0.49704336696128004
PSH Flag Cnt,Init Bwd Win Byts,0.4945830635262811,0.4945830635262811
Bwd Pkt Len Std,Init Bwd Win Byts,0.4886984855854674,0.4886984855854674
Fwd Pkt Len Max,RST Flag Cnt,0.4853530243792539,0.4853530243792539
Fwd Pkt Len Max,ECE Flag Cnt,0.4853385188414392,0.4853385188414392
Bwd IAT Std,Idle Mean,0.48351903297170956,0.48351903297170956
Pkt Len Mean,PSH Flag Cnt,0.47261466773518945,0.47261466773518945
Fwd Pkt Len Mean,Pkt Len Var,0.47153522249611723,0.47153522249611723
Pkt Len Var,Fwd Seg Size Avg,0.47153522249611723,0.47153522249611723
Fwd Pkt Len Std,RST Flag Cnt,0.46862035096132465,0.46862035096132465
Fwd Pkt Len Std,ECE Flag Cnt,0.4686053605033502,0.4686053605033502
Bwd IAT Std,Idle Min,0.4661377938451643,0.4661377938451643
Bwd Pkt Len Mean,PSH Flag Cnt,0.46396408698125,0.46396408698125
PSH Flag Cnt,Bwd Seg Size Avg,0.46396408698124997,0.46396408698124997
Flow IAT Max,Bwd IAT Std,0.4582206063595376,0.4582206063595376
Protocol,PSH Flag Cnt,-0.4554980181603397,0.4554980181603397
Fwd IAT Tot,Fwd IAT Min,0.45511915724838464,0.45511915724838464
Flow Duration,Fwd IAT Min,0.45186624034154793,0.45186624034154793
Dst Port,ACK Flag Cnt,0.45006456619757335,0.45006456619757335
Flow IAT Min,Fwd IAT Tot,0.446389301007186,0.446389301007186
Fwd IAT Max,Bwd IAT Std,0.44633404198571824,0.44633404198571824
Flow Byts/s,Fwd Pkts/s,0.44465771978714885,0.44465771978714885
RST Flag Cnt,Init Bwd Win Byts,0.443493495306652,0.443493495306652
ECE Flag Cnt,Init Bwd Win Byts,0.4434816496596427,0.4434816496596427
Flow Duration,Flow IAT Min,0.44329592710663884,0.44329592710663884
Fwd Pkt Len Max,Bwd Seg Size Avg,0.4365922136139963,0.4365922136139963
Fwd Pkt Len Max,Bwd Pkt Len Mean,0.4365922136139962,0.4365922136139962
Pkt Len Var,RST Flag Cnt,0.4351996943958641,0.4351996943958641
Pkt Len Var,ECE Flag Cnt,0.4351864770254222,0.4351864770254222
Bwd Pkt Len Max,Bwd IAT Tot,0.43435362399260585,0.43435362399260585
PSH Flag Cnt,Pkt Size Avg,0.43300941024308787,0.43300941024308787
Pkt Len Std,Init Bwd Win Byts,0.432590230687444,0.432590230687444
Bwd Pkt Len Max,ACK Flag Cnt,-0.4320237393080978,0.4320237393080978
Fwd Pkts/s,Bwd Pkts/s,0.4318229081930013,0.4318229081930013
ACK Flag Cnt,Pkt Size Avg,-0.42978895026091835,0.42978895026091835
Bwd IAT Tot,Idle Max,0.4239430420915711,0.4239430420915711
Bwd Pkt Len Min,PSH Flag Cnt,-0.42208096728952077,0.42208096728952077
Flow Duration,Bwd IAT Mean,0.4163210194053969,0.4163210194053969
Bwd IAT Tot,Pkt Len Var,0.41575267911805774,0.41575267911805774
Bwd Pkt Len Mean,ACK Flag Cnt,-0.41573048049071976,0.41573048049071976
ACK Flag Cnt,Bwd Seg Size Avg,-0.41573048049071964,0.41573048049071964
Bwd IAT Tot,Pkt Len Max,0.41561023041268425,0.41561023041268425
Bwd IAT Tot,Idle Mean,0.4148263016373525,0.4148263016373525
Fwd Pkt Len Mean,PSH Flag Cnt,0.4138921802587304,0.4138921802587304
PSH Flag Cnt,Fwd Seg Size Avg,0.41389218025873037,0.41389218025873037
URG Flag Cnt,Src Port,-0.41155053499576916,0.41155053499576916
Fwd IAT Tot,Bwd IAT Mean,0.4047608856152351,0.4047608856152351
Bwd IAT Mean,Bwd IAT Std,0.4035941300989557,0.4035941300989557
Protocol,Src Port,0.4019426427231878,0.4019426427231878
Bwd IAT Tot,Pkt Len Std,0.40021229000349834,0.40021229000349834
Bwd IAT Tot,Idle Min,0.39681029629516573,0.39681029629516573
Pkt Len Max,ACK Flag Cnt,-0.3943308402936425,0.3943308402936425
Pkt Len Min,PSH Flag Cnt,-0.39122200180818073,0.39122200180818073
Flow Byts/s,Flow Pkts/s,0.3908734041547458,0.3908734041547458
Protocol,ACK Flag Cnt,-0.3908528873658104,0.3908528873658104
PSH Flag Cnt,Fwd Seg Size Min,0.389980365631387,0.389980365631387
Bwd Pkt Len Max,Bwd IAT Std,0.3886430574914216,0.3886430574914216
Pkt Len Mean,ACK Flag Cnt,-0.3880438916167679,0.3880438916167679
Fwd Pkt Len Mean,RST Flag Cnt,0.3860852777649785,0.3860852777649785
RST Flag Cnt,Fwd Seg Size Avg,0.38608527776497836,0.38608527776497836
ECE Flag Cnt,Fwd Seg Size Avg,0.3860756967559141,0.3860756967559141
Fwd Pkt Len Mean,ECE Flag Cnt,0.386075696755914,0.386075696755914
Bwd IAT Max,Pkt Len Var,0.3841596158610314,0.3841596158610314
Flow IAT Max,Bwd IAT Tot,0.38200914488650595,0.38200914488650595
Bwd Pkt Len Std,Bwd IAT Tot,0.38176828418366937,0.38176828418366937
Bwd Pkt Len Std,ACK Flag Cnt,-0.37923550043302906,0.37923550043302906
Fwd IAT Max,Bwd IAT Tot,0.37853431278759125,0.37853431278759125
ACK Flag Cnt,Fwd Seg Size Min,0.3762314212679568,0.3762314212679568
Bwd IAT Std,Pkt Len Max,0.3754217375689643,0.3754217375689643
Bwd Pkt Len Mean,Bwd IAT Tot,0.37369952950949836,0.37369952950949836
Bwd IAT Tot,Bwd Seg Size Avg,0.3736995295094983,0.3736995295094983
Fwd Pkt Len Mean,Bwd Pkt Len Mean,0.37318228493239364,0.37318228493239364
Fwd Pkt Len Mean,Bwd Seg Size Avg,0.37318228493239364,0.37318228493239364
Fwd Seg Size Avg,Bwd Seg Size Avg,0.3731822849323935,0.3731822849323935
Bwd Pkt Len Mean,Fwd Seg Size Avg,0.37318228493239347,0.37318228493239347
Bwd Pkt Len Max,Bwd IAT Max,0.37287203088996373,0.37287203088996373
Pkt Len Std,ACK Flag Cnt,-0.37198919813779174,0.37198919813779174
Fwd Pkt Len Min,PSH Flag Cnt,-0.36981223264746654,0.36981223264746654
Bwd IAT Tot,Pkt Len Mean,0.3696500278802687,0.3696500278802687
Pkt Len Mean,RST Flag Cnt,0.36851552338670335,0.36851552338670335
Pkt Len Mean,ECE Flag Cnt,0.3685026841625786,0.3685026841625786
Bwd Pkt Len Mean,Bwd IAT Max,0.3666069949218303,0.3666069949218303
Bwd IAT Max,Bwd Seg Size Avg,0.36660699492183024,0.36660699492183024
Fwd Pkt Len Std,Bwd Seg Size Avg,0.3665999566546358,0.3665999566546358
Fwd Pkt Len Std,Bwd Pkt Len Mean,0.3665999566546358,0.3665999566546358
Bwd Pkts/s,Fwd Seg Size Min,0.366323370311472,0.366323370311472
Bwd IAT Max,Bwd IAT Min,0.3662616762618945,0.3662616762618945
Bwd Pkt Len Std,Bwd IAT Std,0.3650513184173707,0.3650513184173707
Protocol,Bwd Pkt Len Std,-0.36103477590350813,0.36103477590350813
Bwd IAT Max,Pkt Len Mean,0.35721530900575726,0.35721530900575726
Bwd IAT Mean,Idle Max,0.3571123028235934,0.3571123028235934
RST Flag Cnt,Bwd Seg Size Avg,0.3570986233730975,0.3570986233730975
Bwd Pkt Len Mean,RST Flag Cnt,0.3570986233730975,0.3570986233730975
ECE Flag Cnt,Bwd Seg Size Avg,0.3570837846740392,0.3570837846740392
Bwd Pkt Len Mean,ECE Flag Cnt,0.3570837846740391,0.3570837846740391
Bwd IAT Max,Pkt Len Std,0.3568126107497233,0.3568126107497233
Bwd IAT Std,Pkt Len Std,0.3559583393858423,0.3559583393858423
Bwd IAT Max,Pkt Len Max,0.3555363828034746,0.3555363828034746
Dst Port,URG Flag Cnt,0.35384052653534465,0.35384052653534465
RST Flag Cnt,Pkt Size Avg,0.3532216658721426,0.3532216658721426
ECE Flag Cnt,Pkt Size Avg,0.35320914074173243,0.35320914074173243
Bwd IAT Std,Pkt Len Var,0.3520050843104271,0.3520050843104271
Bwd IAT Mean,Idle Mean,0.3491138464538115,0.3491138464538115
Protocol,Fwd Pkt Len Std,-0.3417805500205551,0.3417805500205551
Protocol,Down/Up Ratio,0.34015100285137034,0.34015100285137034
Bwd Pkt Len Std,Bwd IAT Max,0.34001873322445614,0.34001873322445614
Bwd Pkt Len Min,ACK Flag Cnt,-0.3379910847431005,0.3379910847431005
Bwd IAT Mean,Idle Min,0.3377031454123495,0.3377031454123495
Fwd IAT Std,Pkt Len Var,0.3375823941313771,0.3375823941313771
Bwd IAT Tot,Pkt Size Avg,0.33679060080667944,0.33679060080667944
RST Flag Cnt,ACK Flag Cnt,-0.33500976526013876,0.33500976526013876
ACK Flag Cnt,ECE Flag Cnt,-0.3349838084917088,0.3349838084917088
Bwd Pkt Len Min,Bwd Pkt Len Std,-0.33416238510121105,0.33416238510121105
Pkt Len Min,ACK Flag Cnt,-0.33180750077494336,0.33180750077494336
Bwd IAT Max,Pkt Size Avg,0.33115414299891527,0.33115414299891527
ACK Flag Cnt,Fwd Seg Size Avg,-0.3274177308618439,0.3274177308618439
Fwd Pkt Len Mean,ACK Flag Cnt,-0.3274177308618438,0.3274177308618438
Flow IAT Max,Bwd IAT Mean,0.32735926190369335,0.32735926190369335
Fwd IAT Std,Pkt Len Max,0.3250950088709081,0.3250950088709081
Bwd Pkt Len Max,Fwd IAT Std,0.3245878571722355,0.3245878571722355
Fwd IAT Std,Pkt Len Std,0.32330351507782135,0.32330351507782135
Fwd Pkt Len Std,Fwd Seg Size Min,0.3231490651619183,0.3231490651619183
Fwd IAT Std,Bwd IAT Min,0.3209588765775963,0.3209588765775963
Bwd Pkt Len Min,Src Port,0.3150131594171555,0.3150131594171555
Fwd Pkt Len Std,Bwd Pkt Len Min,-0.3119147226583224,0.3119147226583224
Fwd IAT Max,Bwd IAT Mean,0.31148721500574517,0.31148721500574517
Protocol,Pkt Len Max,-0.31093170978974716,0.31093170978974716
Bwd Pkt Len Std,Pkt Len Min,-0.31019296964974047,0.31019296964974047
Fwd IAT Std,Bwd Seg Size Avg,0.30976631955600126,0.30976631955600126
Bwd Pkt Len Mean,Fwd IAT Std,0.30976631955600126,0.30976631955600126
