Feature,Rows,Finite,NaN,NaN_%,Positive_Inf,Negative_Inf,Inf_%,Zero,Zero_%,Min,Max,Status,Files_Present
Pkt Len Min,16232929,16232929,0,0.0,0,0,0.0,12023535,74.06879559443647,0.0,1460.0,USABLE,10
Pkt Len Std,16232929,16232929,0,0.0,0,0,0.0,5148312,31.715237588977317,0.0,22788.28621,USABLE,10
Pkt Len Var,16232929,16232929,0,0.0,0,0,0.0,5148312,31.715237588977317,0.0,519000000.0,USABLE,10
Pkt Size Avg,16232929,16232929,0,0.0,0,0,0.0,5026239,30.96322912519361,0.0,17478.40769,USABLE,10
Protocol,16232929,16232929,0,0.0,0,0,0.0,238299,1.4679975499184406,0.0,17.0,USABLE,10
RST Flag Cnt,16232929,16232929,0,0.0,0,0,0.0,13190908,81.2601841602338,0.0,1.0,USABLE,10
SYN Flag Cnt,16232929,16232929,0,0.0,0,0,0.0,15520377,95.61045329527407,0.0,1.0,USABLE,10
Src Port,7948748,7948748,0,0.0,0,0,0.0,144134,1.8132918542643446,0.0,65535.0,USABLE,1
Subflow Bwd Byts,16232929,16232929,0,0.0,0,0,0.0,6007251,37.006574722282096,0.0,156360426.0,USABLE,10
Subflow Bwd Pkts,16232929,16232929,0,0.0,0,0,0.0,4137368,25.487501362200256,0.0,123118.0,USABLE,10
Subflow Fwd Byts,16232929,16232929,0,0.0,0,0,0.0,5031596,30.996229947164807,0.0,144391846.0,USABLE,10
Subflow Fwd Pkts,16232929,16232929,0,0.0,0,0,0.0,0,0.0,1.0,309629.0,USABLE,10
Tot Bwd Pkts,16232929,16232929,0,0.0,0,0,0.0,4137368,25.487501362200256,0.0,123118.0,USABLE,10
Tot Fwd Pkts,16232929,16232929,0,0.0,0,0,0.0,0,0.0,1.0,309629.0,USABLE,10
TotLen Bwd Pkts,16232929,16232929,0,0.0,0,0,0.0,6007251,37.006574722282096,0.0,156360426.0,USABLE,10
TotLen Fwd Pkts,16232929,16232929,0,0.0,0,0,0.0,5031596,30.996229947164807,0.0,144391846.0,USABLE,10
URG Flag Cnt,16232929,16232929,0,0.0,0,0,0.0,15555804,95.82869487077778,0.0,1.0,USABLE,10
