Feature,Count,Missing,Missing_%,Zero,Zero_%,Min,Max,Mean,Std,Status
FIN Flag Cnt,16232929,0,0.0,16155085,99.52045622820133,0.0,1.0,0.004795437717986692,0.06908285963304937,MOSTLY_ZERO
Flow Byts/s,16232929,59721,0.3679003339446627,4966518,30.59532879124895,0.0,inf,inf,,USABLE
Flow Duration,16232929,0,0.0,95760,0.5899120238867551,0.0,120000000.0,12189324.15549911,30886443.24420621,USABLE
Flow IAT Max,16232929,0,0.0,95760,0.5899120238867551,0.0,120000000.0,6169697.330736493,17209378.923441567,USABLE
Flow IAT Mean,16232929,0,0.0,95760,0.5899120238867551,0.0,120000000.0,3414376.70853723,13791922.528930485,USABLE
Flow IAT Min,16232929,0,0.0,883358,5.441765931459443,-2228.0,120000000.0,2978232.673384144,13769002.94072307,USABLE
Flow IAT Std,16232929,0,0.0,7829420,48.231714683160384,0.0,84808080.04608749,989116.0727199635,3581634.0800883397,USABLE
Flow ID,7948748,7948748,100.0,0,0.0,inf,-inf,0.0,0.0,HIGH_MISSING
Flow Pkts/s,16232929,0,0.0,0,0.0,0.016666673333336,inf,inf,,USABLE
Fwd Act Data Pkts,16232929,0,0.0,8675474,53.44367612277489,0.0,309628.0,19.895295544014267,1519.9172220192713,USABLE
Fwd Blk Rate Avg,16232929,0,0.0,16232929,100.0,0.0,0.0,0.0,0.0,CONSTANT
Fwd Byts/b Avg,16232929,0,0.0,16232929,100.0,0.0,0.0,0.0,0.0,CONSTANT
Fwd Header Len,16232929,0,0.0,238299,1.4679975499184406,0.0,2477032.0,257.54098400849284,12263.524250850938,USABLE
Fwd IAT Max,16232929,0,0.0,4591176,28.283102821431672,0.0,120000000.0,5976625.191564443,17127838.656200454,USABLE
Fwd IAT Mean,16232929,0,0.0,4591176,28.283102821431672,0.0,120000000.0,3740280.3712040563,13980138.506664759,USABLE
Fwd IAT Min,16232929,0,0.0,4725323,29.10949096124304,-2171.0,120000000.0,3066028.003306304,13927714.953601211,USABLE
Fwd IAT Std,16232929,0,0.0,8793854,54.172934533256445,0.0,84808080.04608749,1116507.199665401,4160576.931633944,USABLE
Fwd IAT Tot,16232929,0,0.0,4591176,28.283102821431672,0.0,120000000.0,11898652.579843478,30806349.66822603,USABLE
Fwd PSH Flags,16232929,0,0.0,15520377,95.61045329527407,0.0,1.0,0.04389546704725931,0.204862527124807,USABLE
Fwd Pkt Len Max,16232929,0,0.0,5031596,30.996229947164807,0.0,64440.0,200.76220927227612,303.5091972775029,USABLE
Fwd Pkt Len Mean,16232929,0,0.0,5031596,30.996229947164807,0.0,16529.3138401559,50.31277958548432,60.50561359375168,USABLE
Fwd Pkt Len Min,16232929,0,0.0,11996457,73.90198651149154,0.0,1460.0,11.07600803280788,24.229390898464747,USABLE
Fwd Pkt Len Std,16232929,0,0.0,9238073,56.90946470596896,0.0,18401.5827717299,70.84153218171592,116.4407534168805,USABLE
Fwd Pkts/b Avg,16232929,0,0.0,16232929,100.0,0.0,0.0,0.0,0.0,CONSTANT
Fwd Pkts/s,16232929,0,0.0,95760,0.5899120238867551,0.0,6000000.0,36672.545990765655,213324.14947853817,USABLE
Fwd Seg Size Avg,16232929,0,0.0,5031596,30.996229947164807,0.0,16529.3138401559,50.31277958548432,60.50561359375168,USABLE
Fwd Seg Size Min,16232929,0,0.0,238299,1.4679975499184406,0.0,56.0,17.99268265141799,7.693830195761641,USABLE
Fwd URG Flags,16232929,0,0.0,16230270,99.98361971520976,0.0,1.0,0.0001638028479025566,0.012797500401624359,MOSTLY_ZERO
Idle Max,16232929,0,0.0,13885515,85.53918396365808,0.0,120000000.0,4933569.364555713,16160996.899550654,USABLE
Idle Mean,16232929,0,0.0,13885515,85.53918396365808,0.0,120000000.0,4804132.543695573,15907545.40125268,USABLE
Idle Min,16232929,0,0.0,13885515,85.53918396365808,0.0,120000000.0,4661728.97394241,15783649.038245287,USABLE
Idle Std,16232929,0,0.0,14945286,92.06771002324966,0.0,76393949.17038548,151516.843568882,1676372.861050664,USABLE
Init Bwd Win Byts,16232929,0,0.0,1114835,6.867737793961891,-1.0,65535.0,8689.138408108605,20619.318102460264,USABLE
Init Fwd Win Byts,16232929,0,0.0,77743,0.47892157970998334,-1.0,65535.0,8787.209473102483,16235.603275814401,USABLE
PSH Flag Cnt,16232929,0,0.0,9868248,60.79154291871788,0.0,1.0,0.3920845708128213,0.48821538294419503,USABLE
Pkt Len Max,16232929,0,0.0,5026239,30.96322912519361,0.0,65160.0,389.3463954656612,514.1581519249623,USABLE
Pkt Len Mean,16232929,0,0.0,5026239,30.96322912519361,0.0,17344.98473,77.62640854316501,103.70081473714357,USABLE
Pkt Len Min,16232929,0,0.0,12023535,74.06879559443647,0.0,1460.0,10.942564770658455,22.619415306525465,USABLE
Pkt Len Std,16232929,0,0.0,5148312,31.715237588977317,0.0,22788.28621,121.46822590247339,162.53018335180414,USABLE
Pkt Len Var,16232929,0,0.0,5148312,31.715237588977317,0.0,519000000.0,41170.571554607464,212977.37860591596,USABLE
Pkt Size Avg,16232929,0,0.0,5026239,30.96322912519361,0.0,17478.40769,89.54047369601986,108.22331271128787,USABLE
Protocol,16232929,0,0.0,238299,1.4679975499184406,0.0,17.0,8.754121021535916,4.920112410966426,USABLE
RST Flag Cnt,16232929,0,0.0,13190908,81.2601841602338,0.0,1.0,0.18739815839766194,0.3902308145531651,USABLE
SYN Flag Cnt,16232929,0,0.0,15520377,95.61045329527407,0.0,1.0,0.04389546704725931,0.204862527124807,USABLE
Src IP,7948748,7948748,100.0,0,0.0,inf,-inf,0.0,0.0,HIGH_MISSING
Src Port,7948748,0,0.0,144134,1.8132918542643446,0.0,65535.0,45276.92921438697,21120.950686621512,USABLE
Subflow Bwd Byts,16232929,0,0.0,6007251,37.006574722282096,0.0,156360426.0,4730.913028018542,234455.6603504284,USABLE
Subflow Bwd Pkts,16232929,0,0.0,4137368,25.487501362200256,0.0,123118.0,6.312711279646452,164.02570427000154,USABLE
Subflow Fwd Byts,16232929,0,0.0,5031596,30.996229947164807,0.0,144391846.0,973.0380956511299,62169.08347422946,USABLE
Subflow Fwd Pkts,16232929,0,0.0,0,0.0,1.0,309629.0,23.533131328301874,1521.1374145969041,USABLE
Tot Bwd Pkts,16232929,0,0.0,4137368,25.487501362200256,0.0,123118.0,6.312711279646452,164.02570427000154,USABLE
Tot Fwd Pkts,16232929,0,0.0,0,0.0,1.0,309629.0,23.533131328301874,1521.1374145969041,USABLE
TotLen Bwd Pkts,16232929,0,0.0,6007251,37.006574722282096,0.0,156360426.0,4730.935503876102,234465.95008887615,USABLE
TotLen Fwd Pkts,16232929,0,0.0,5031596,30.996229947164807,0.0,144391846.0,973.0380956511299,62169.08347422946,USABLE
URG Flag Cnt,16232929,0,0.0,15555804,95.82869487077778,0.0,1.0,0.04171305129222212,0.19993267027705744,USABLE
