File,Window_Size,Total_Windows,Attack_Containing_Windows,Completely_Benign_Windows,Mean_Attack_Ratio,Median_Attack_Ratio,P95_Attack_Ratio,Maximum_Attack_Ratio,Low_Attack_Windows_<5%,Medium_Attack_Windows_5-50%,High_Attack_Windows_>=50%,First_Attack_Window,First_Attack_Ratio
Thursday-22-02-2018_TrafficForML_CICFlowMeter.csv,10s,3290,164,3126,0.000382674319371616,0.0,0.0,0.02888086642599278,164,0,0,2018-02-22 01:51:30,0.0070921985815602835
Thursday-22-02-2018_TrafficForML_CICFlowMeter.csv,30s,1097,129,968,0.00034576254319736204,0.0,0.0030873738241074668,0.010515247108307046,129,0,0,2018-02-22 01:51:30,0.002175489485134155
Thursday-22-02-2018_TrafficForML_CICFlowMeter.csv,60s,549,117,432,0.00033492303579140054,0.0,0.0019424358873813823,0.005837711617046118,117,0,0,2018-02-22 01:51:00,0.0011090573012939
Wednesday-14-02-2018_TrafficForML_CICFlowMeter.csv,10s,3255,1130,2125,0.22321378113209184,0.0,0.8252427184466019,0.9262295081967213,0,240,890,2018-02-14 02:01:20,0.2608695652173913
Wednesday-14-02-2018_TrafficForML_CICFlowMeter.csv,30s,1086,380,706,0.21881720713046648,0.0,0.8028958473742746,0.8886032562125107,0,77,303,2018-02-14 02:01:00,0.10160880609652836
Wednesday-14-02-2018_TrafficForML_CICFlowMeter.csv,60s,543,190,353,0.21771087872145645,0.0,0.7781855847828282,0.8847631241997439,0,41,149,2018-02-14 02:01:00,0.37320893035654784
Wednesday-21-02-2018_TrafficForML_CICFlowMeter.csv,10s,637,275,362,0.2708792628331874,0.0,0.999874724392408,1.0,0,69,206,2018-02-21 02:11:00,1.0
Wednesday-21-02-2018_TrafficForML_CICFlowMeter.csv,30s,308,115,193,0.20727829778492537,0.0,0.8486538461538461,1.0,0,51,64,2018-02-21 02:11:00,1.0
Wednesday-21-02-2018_TrafficForML_CICFlowMeter.csv,60s,170,59,111,0.19329782889855066,0.0,0.7123998998998998,0.9999374322182364,0,25,34,2018-02-21 02:11:00,0.9999200916282662
Wednesday-28-02-2018_TrafficForML_CICFlowMeter.csv,10s,3406,798,2608,0.08563526854258104,0.0,0.44568270639960916,0.49517684887459806,15,783,0,2018-02-28 01:42:00,0.4830508474576271
Wednesday-28-02-2018_TrafficForML_CICFlowMeter.csv,30s,1138,266,872,0.08507073897995268,0.0,0.43538163221040127,0.4836997725549659,5,261,0,2018-02-28 01:42:00,0.4327666151468315
Wednesday-28-02-2018_TrafficForML_CICFlowMeter.csv,60s,570,133,437,0.08328810560177978,0.0,0.4207283303783094,0.4741100323624595,0,133,0,2018-02-28 01:42:00,0.3667315175097276
